chr_element	average_coord
pNRC200	66510.5
Chr	78060.5
Chr	1141157.5
Chr	2010827.5
Chr	1414247.5
Chr	1316501
Chr	1796657.5
Chr	1723367.5
Chr	852090.5
pNRC200	62670.5
Chr	1026600.5
Chr	1971047.5
Chr	1089767.5
Chr	733887
Chr	755760.5
Chr	557665
Chr	1897727.5
Chr	1788651
Chr	439200.5
Chr	1947347.5
pNRC200	142230.5
Chr	26070.5
Chr	194940.5
Chr	454147
Chr	232650.5
Chr	1415333
Chr	547015
Chr	843780.5
pNRC100	28860.5
NA	NA
Chr	1795097.5
Chr	266310.5
pNRC100	128250.5
Chr	611760.5
Chr	953070.5
Chr	55350.5
Chr	507150.5
Chr	295560.5
Chr	1481027.5
Chr	1769481
Chr	1518141
Chr	1325207.5
Chr	1989581
Chr	1916387.5
Chr	466530.5
Chr	111927
pNRC100	148950.5
Chr	1594007.5
Chr	1131947.5
Chr	1396457.5
Chr	1411547.5
pNRC100	147240.5
Chr	1792059
NA	NA
pNRC200	55710.5
Chr	821280.5
pNRC100	44550.5
Chr	725083
Chr	788841
Chr	873189
Chr	344850.5
pNRC200	361110.5
Chr	1496297.5
Chr	808560.5
Chr	1308737.5
Chr	591600.5
Chr	741300.5
Chr	369720.5
Chr	26340.5
Chr	2012417.5
Chr	697350.5
Chr	1066937.5
Chr	1368077.5
Chr	1165307.5
pNRC100	85050.5
Chr	322890.5
Chr	213360.5
Chr	609180.5
Chr	645510.5
Chr	1682177.5
pNRC200	193380.5
Chr	1448117.5
pNRC200	148560.5
Chr	1494137.5
Chr	947739
Chr	749791
Chr	959820.5
Chr	1170197.5
Chr	1590197.5
Chr	769680.5
Chr	712729
Chr	1003950.5
Chr	1957337.5
Chr	1528507
Chr	796500.5
Chr	496321
Chr	1962257.5
Chr	352170.5
Chr	1978931
pNRC200	350550.5
Chr	533400.5
Chr	1893731
Chr	1373027.5
Chr	43320.5
Chr	625770.5
Chr	421980.5
Chr	1020750.5
pNRC100	139320.5
Chr	1066865
Chr	1658863
Chr	1653767.5
pNRC100	76590.5
Chr	1135025
pNRC200	354270.5
Chr	401070.5
Chr	1032120.5
pNRC200	130470.5
Chr	15180.5
Chr	1400207.5
Chr	755190.5
Chr	1464317.5
Chr	812940.5
Chr	15540.5
Chr	1613849
Chr	757980.5
Chr	540909
pNRC200	190920.5
Chr	448020.5
unmapped	NA
Chr	1344017.5
pNRC200	113160.5
Chr	613440.5
pNRC200	296953
Chr	1694717.5
pNRC200	217680.5
Chr	935820.5
Chr	230940.5
Chr	267985
Chr	1027230.5
Chr	1857797.5
Chr	2000327.5
NA	NA
Chr	1579201
Chr	484440.5
Chr	873757
Chr	1057487.5
Chr	1378937.5
Chr	963090.5
Chr	1225817.5
Chr	297030.5
Chr	746640.5
Chr	374880.5
Chr	1818317.5
Chr	430410.5
Chr	196710.5
Chr	1232747.5
Chr	869370.5
Chr	897900.5
Chr	421920.5
Chr	1574477.5
Chr	1604903
pNRC100	3180.5
Chr	1701257.5
Chr	181590.5
Chr	1761529
pNRC200	333780.5
Chr	1786247.5
Chr	1452227.5
Chr	354179
Chr	402720.5
pNRC200	54090.5
pNRC200	276210.5
pNRC200	272820.5
Chr	1617437.5
pNRC200	39180.5
pNRC200	165090.5
Chr	868260.5
Chr	1378817.5
Chr	1596377.5
pNRC100	1230.5
Chr	398340.5
Chr	1906157.5
Chr	83243
Chr	1925597.5
pNRC200	291060.5
Chr	926640.5
Chr	386880.5
Chr	1022430.5
Chr	484961
Chr	1673327.5
Chr	115290.5
Chr	155820.5
Chr	819720.5
Chr	916890.5
pNRC200	174450.5
Chr	1862837.5
Chr	281430.5
pNRC200	289530.5
Chr	1048500.5
Chr	1473695
pNRC200	176310.5
pNRC200	343410.5
Chr	1892687.5
pNRC100	110850.5
Chr	302220.5
Chr	634590.5
Chr	1739477.5
Chr	907830.5
Chr	1840457.5
pNRC100	3660.5
Chr	1585449
Chr	1586017
Chr	957821
Chr	591150.5
Chr	791010.5
Chr	1090907.5
Chr	944070.5
pNRC200	50640.5
Chr	1446047.5
Chr	797929
Chr	1805549
pNRC100	158787
Chr	1438905
Chr	911220.5
pNRC200	36840.5
Chr	1821797.5
unmapped	NA
pNRC200	102390.5
Chr	1907177.5
Chr	1988207.5
pNRC100	80403
Chr	1078277.5
Chr	873615
pNRC200	326190.5
Chr	1469867.5
Chr	1156577.5
pNRC100	141600.5
Chr	277499
pNRC200	312090.5
Chr	1414157.5
Chr	1621487.5
Chr	408150.5
Chr	137580.5
pNRC200	165930.5
Chr	454680.5
Chr	1285007.5
pNRC200	305250.5
Chr	214110.5
Chr	667500.5
Chr	1845377.5
Chr	1860107.5
Chr	1622897.5
Chr	1688387.5
Chr	1790057.5
Chr	1027860.5
Chr	254850.5
pNRC200	243750.5
Chr	241005
Chr	1108667.5
Chr	1100597.5
Chr	1932077.5
Chr	2003717.5
Chr	1671437.5
Chr	479070.5
unmapped	NA
Chr	1343327.5
pNRC200	297270.5
Chr	571290.5
Chr	1910061
pNRC100	165900.5
Chr	1995347.5
Chr	1706687.5
NA	NA
pNRC100	123570.5
Chr	753510.5
Chr	723600.5
Chr	1632287.5
Chr	1335767.5
Chr	1263617.5
Chr	1745597.5
Chr	1765277.5
pNRC100	110220.5
Chr	960060.5
Chr	1231869
Chr	664500.5
pNRC200	236910.5
Chr	711270.5
Chr	1721057.5
Chr	333330.5
Chr	1972667.5
Chr	1504397.5
Chr	1380107.5
Chr	824850.5
Chr	743070.5
NA	NA
Chr	886380.5
pNRC200	168000.5
Chr	52950.5
Chr	1893767.5
Chr	1458557.5
Chr	1225337.5
Chr	175170.5
Chr	873630.5
Chr	1677137.5
Chr	48330.5
Chr	1718657.5
Chr	2000897.5
Chr	708720.5
Chr	526890.5
pNRC200	255063
pNRC200	290160.5
Chr	1186217.5
pNRC100	97920.5
Chr	641161
Chr	1730417.5
Chr	1549187.5
Chr	1830527.5
pNRC100	56280.5
pNRC100	159330.5
Chr	899640.5
pNRC200	349590.5
Chr	1759217.5
Chr	606030.5
Chr	579480.5
Chr	1312809
Chr	376050.5
Chr	945360.5
Chr	199890.5
Chr	1128107.5
Chr	1943431
Chr	1249667.5
Chr	1660141
pNRC100	29460.5
Chr	1099397.5
Chr	1345043
Chr	1619507.5
Chr	1552037.5
Chr	1978007.5
Chr	1464377.5
pNRC200	295410.5
pNRC200	116329
Chr	1102427.5
Chr	1758347.5
Chr	1967207.5
Chr	770100.5
unmapped	NA
pNRC100	22467
Chr	1657667.5
Chr	66120.5
Chr	390.5
Chr	1037625
pNRC200	126060.5
Chr	12480.5
pNRC100	114300.5
Chr	711690.5
pNRC200	171060.5
Chr	1435639
pNRC100	177900.5
Chr	1632797.5
Chr	101460.5
Chr	130671
Chr	1369467
Chr	852660.5
pNRC100	128430.5
Chr	1076947
Chr	1371257.5
Chr	792690.5
Chr	1832417.5
pNRC100	186477
Chr	1262417.5
Chr	1728497.5
Chr	1463627.5
Chr	351750.5
Chr	1545317.5
Chr	1003830.5
Chr	854820.5
Chr	1362377.5
Chr	1369787.5
Chr	1597517.5
Chr	1645907.5
Chr	484050.5
Chr	863430.5
Chr	1390397.5
Chr	666150.5
Chr	87503
pNRC200	156750.5
Chr	19080.5
Chr	1371497.5
Chr	1369427.5
pNRC100	27360.5
Chr	1475327.5
Chr	1297307.5
pNRC100	36030.5
Chr	362415
Chr	47730.5
Chr	177060.5
Chr	1634207.5
Chr	174691
pNRC200	212520.5
Chr	1474577.5
pNRC200	136830.5
Chr	741420.5
Chr	1220387.5
Chr	865290.5
Chr	1360157.5
Chr	531679
Chr	1278197.5
Chr	637110.5
Chr	1291997.5
Chr	291930.5
pNRC100	114060.5
pNRC200	275937
Chr	139320.5
Chr	1454927.5
Chr	179610.5
Chr	1932407.5
Chr	1441847.5
Chr	1416617.5
Chr	508350.5
Chr	158100.5
Chr	284820.5
Chr	1888193
Chr	1000770.5
Chr	1220537.5
Chr	1491197.5
Chr	1668917.5
Chr	149040.5
Chr	979050.5
Chr	241080.5
Chr	1228603
pNRC200	4110.5
Chr	530850.5
Chr	423060.5
pNRC200	11610.5
Chr	803100.5
Chr	1283699
Chr	1442147.5
Chr	945150.5
pNRC100	34290.5
pNRC100	58980.5
Chr	238591
Chr	743610.5
Chr	525360.5
NA	NA
Chr	418800.5
Chr	926439
Chr	250800.5
Chr	1346207.5
Chr	822750.5
Chr	1821707.5
Chr	1797017.5
pNRC200	134079
Chr	1752299
Chr	1514447.5
Chr	1153157.5
pNRC200	351840.5
Chr	246030.5
Chr	1577497
pNRC200	56700.5
Chr	990840.5
pNRC100	128700.5
Chr	9270.5
Chr	1880099
Chr	122670.5
Chr	872070.5
Chr	1853057.5
pNRC100	6510.5
Chr	251730.5
Chr	145200.5
pNRC200	318240.5
Chr	1550057.5
Chr	789150.5
Chr	1595117.5
Chr	1850117.5
Chr	812760.5
Chr	1541297.5
Chr	839250.5
Chr	1721447.5
Chr	996600.5
Chr	1680587.5
Chr	774540.5
Chr	1876727.5
Chr	154020.5
Chr	396810.5
Chr	1836977.5
NA	NA
Chr	720930.5
Chr	1899707.5
Chr	293490.5
Chr	151140.5
Chr	1797737.5
pNRC200	204660.5
Chr	969607
Chr	1737957
Chr	1771967.5
Chr	789060.5
Chr	1793337
Chr	1937893
Chr	74400.5
Chr	600960.5
Chr	924270.5
Chr	1762697.5
pNRC200	100080.5
pNRC200	240120.5
Chr	1094447.5
Chr	831210.5
pNRC200	339480.5
Chr	378745
Chr	141870.5
Chr	644040.5
pNRC200	137070.5
Chr	658770.5
Chr	651240.5
Chr	1936189
Chr	717780.5
Chr	1043820.5
Chr	1002750.5
Chr	873510.5
pNRC200	202590.5
Chr	77563
Chr	202950.5
Chr	1573237
unmapped	NA
Chr	1097087.5
pNRC200	178680.5
Chr	1906085
Chr	1548437.5
pNRC100	182075
pNRC200	179550.5
Chr	32407
Chr	1818827.5
Chr	1302727
Chr	1379687.5
Chr	467460.5
Chr	1591997.5
Chr	1172687.5
pNRC200	278910.5
Chr	654420.5
pNRC200	334470.5
pNRC200	298020.5
Chr	1492247.5
Chr	1921217.5
Chr	1801517.5
Chr	288149
pNRC200	282480.5
Chr	1306577.5
Chr	1658117.5
Chr	1750487.5
pNRC100	132570.5
Chr	399300.5
Chr	1957577.5
pNRC200	126837
Chr	1009800.5
Chr	971820.5
Chr	612930.5
Chr	76050.5
Chr	1463957.5
Chr	915720.5
Chr	614891
Chr	1901177.5
pNRC100	65400.5
Chr	1480907.5
pNRC200	232140.5
Chr	1923887.5
pNRC200	181380.5
pNRC200	222360.5
unmapped	NA
Chr	1376597.5
Chr	1288277.5
NA	NA
Chr	880890.5
Chr	511380.5
Chr	639780.5
Chr	226050.5
Chr	1068107.5
pNRC200	183637
Chr	784380.5
Chr	744000.5
pNRC100	36180.5
Chr	1169417.5
pNRC100	66000.5
Chr	1253867.5
Chr	369570.5
pNRC200	30090.5
Chr	1032750.5
Chr	2011937.5
Chr	1234567
pNRC200	276540.5
Chr	811703
Chr	372781
pNRC200	206880.5
Chr	1658297.5
Chr	618030.5
Chr	1042110.5
Chr	275970.5
pNRC200	207990.5
Chr	1598237.5
Chr	817383
Chr	1064357.5
Chr	1822873
pNRC200	195900.5
pNRC100	167730.5
Chr	1780427.5
NA	NA
Chr	1728167.5
Chr	1540697.5
Chr	373491
pNRC100	21210.5
unmapped	NA
Chr	1449257.5
Chr	749160.5
Chr	1603997.5
Chr	1171517.5
Chr	749190.5
Chr	846300.5
pNRC100	93183
Chr	942450.5
Chr	55710.5
pNRC200	182670.5
Chr	1669007.5
Chr	988950.5
Chr	980010.5
pNRC100	28680.5
Chr	1054847.5
pNRC200	292740.5
pNRC100	240.5
pNRC100	175830.5
Chr	95640.5
Chr	1037460.5
pNRC200	258930.5
Chr	827749
Chr	421770.5
Chr	1282937.5
Chr	1722527.5
Chr	1104467.5
Chr	1762187.5
Chr	1888477
Chr	1481507.5
Chr	757770.5
pNRC200	313920.5
Chr	583590.5
Chr	1976801
Chr	1719437.5
Chr	627529
pNRC200	308370.5
Chr	1563887.5
pNRC200	178470.5
Chr	875400.5
pNRC200	70020.5
pNRC100	104827
Chr	628170.5
Chr	1458857.5
pNRC200	30630.5
Chr	869250.5
pNRC100	78510.5
Chr	1356257.5
Chr	1019190.5
Chr	19590.5
Chr	695250.5
Chr	1309997.5
Chr	1014720.5
Chr	53640.5
Chr	727639
Chr	1466747.5
Chr	748500.5
Chr	722040.5
Chr	1053947.5
pNRC200	248673
Chr	1227377.5
pNRC200	149820.5
Chr	40110.5
Chr	1837667.5
Chr	70380.5
Chr	1507547.5
Chr	1396217.5
Chr	1510047
pNRC100	115950.5
Chr	1924247.5
Chr	900879
Chr	1349057.5
Chr	130230.5
Chr	796320.5
pNRC200	296520.5
pNRC100	171480.5
NA	NA
Chr	656460.5
Chr	213315
pNRC100	159870.5
Chr	1017090.5
Chr	1895267.5
Chr	1445147.5
Chr	1737137.5
Chr	1337297.5
Chr	1248377.5
Chr	1374863
pNRC100	155040.5
Chr	1107227.5
Chr	1279607.5
Chr	1916087.5
Chr	930870.5
Chr	1954877.5
Chr	1087727.5
Chr	1408787.5
Chr	782340.5
Chr	1560.5
Chr	1988729
Chr	1528081
Chr	970560.5
Chr	554070.5
Chr	1539015
Chr	916320.5
Chr	1597037.5
Chr	243720.5
Chr	1127717.5
Chr	255205
Chr	1838237.5
pNRC100	135300.5
pNRC100	11160.5
Chr	288150.5
Chr	1531667.5
Chr	1589425
pNRC200	8160.5
Chr	1995497.5
pNRC200	147960.5
Chr	1260647.5
unmapped	NA
unmapped	NA
Chr	726420.5
Chr	1867817.5
Chr	1026150.5
pNRC200	211895
Chr	1953767.5
Chr	1122587.5
Chr	276221
Chr	1661357.5
Chr	1506797.5
pNRC100	42540.5
Chr	1734677.5
Chr	1657585
pNRC200	325890.5
pNRC200	257040.5
Chr	1394357.5
Chr	1444697.5
Chr	257220.5
pNRC200	62280.5
Chr	47820.5
pNRC200	319830.5
pNRC100	390.5
Chr	1014870.5
Chr	569167
pNRC100	131250.5
Chr	735120.5
Chr	1481657.5
Chr	1193537.5
Chr	1836437.5
Chr	806580.5
Chr	1511477.5
Chr	901020.5
Chr	923220.5
Chr	1274237.5
Chr	1361867.5
Chr	566370.5
Chr	1082807.5
Chr	1635707.5
Chr	1631173
Chr	1318277.5
Chr	1279517.5
Chr	925170.5
Chr	498990.5
Chr	553980.5
pNRC200	311520.5
Chr	522630.5
Chr	180513
Chr	1904477.5
Chr	474210.5
Chr	866370.5
Chr	1926377.5
Chr	930360.5
Chr	1663337.5
unmapped	NA
pNRC200	153450.5
Chr	57541
pNRC200	233220.5
Chr	257310.5
pNRC200	282611
unmapped	NA
Chr	1792769
pNRC200	301380.5
pNRC200	11100.5
Chr	1768367.5
Chr	657207
Chr	1114577
Chr	602760.5
Chr	65730.5
Chr	756570.5
Chr	393120.5
pNRC200	201930.5
Chr	1657817.5
Chr	1875077.5
NA	NA
Chr	640735
Chr	55290.5
Chr	610080.5
Chr	1983557.5
Chr	1755167.5
Chr	1769765
Chr	800970.5
Chr	548293
Chr	1659317.5
Chr	1292717.5
pNRC100	38430.5
Chr	161485
Chr	1073867.5
Chr	1055927.5
pNRC200	307620.5
pNRC200	86850.5
Chr	645300.5
Chr	1909097.5
Chr	858600.5
unmapped	NA
Chr	1021980.5
Chr	937140.5
Chr	452730.5
Chr	295980.5
pNRC100	35310.5
pNRC100	15060.5
pNRC200	57060.5
Chr	1284647.5
pNRC200	17700.5
Chr	241147
pNRC100	82350.5
Chr	1946657.5
Chr	1980947.5
Chr	1566917.5
Chr	1821257.5
Chr	369780.5
Chr	677400.5
Chr	57000.5
Chr	1594667.5
Chr	782310.5
Chr	370935
Chr	422400.5
Chr	1117307.5
Chr	167160.5
Chr	1093135
Chr	785433
Chr	1227617.5
pNRC100	97050.5
pNRC100	131370.5
Chr	1311673
Chr	1673747.5
pNRC100	22200.5
pNRC200	253080.5
pNRC100	37980.5
pNRC100	36630.5
Chr	473280.5
Chr	1234787.5
Chr	2004257.5
Chr	1495397.5
Chr	1751147.5
pNRC200	173820.5
pNRC100	162337
pNRC200	277710.5
Chr	425889
pNRC100	177000.5
Chr	647190.5
pNRC200	150835
pNRC200	313560.5
Chr	1060817.5
pNRC200	300720.5
Chr	1641527.5
Chr	594727
Chr	785940.5
Chr	454857
Chr	1312517.5
Chr	225900.5
Chr	1671217
Chr	348990.5
Chr	840930.5
pNRC200	150990.5
Chr	1870427.5
Chr	202650.5
Chr	195281
Chr	1928297.5
Chr	1840623
NA	NA
Chr	1019591
Chr	1720157.5
Chr	1519845
Chr	1254407.5
Chr	1027259
Chr	1841207.5
Chr	323100.5
Chr	83520.5
pNRC200	299940.5
Chr	210870.5
Chr	1711457.5
Chr	595440.5
pNRC200	122719
Chr	427650.5
Chr	1200347.5
Chr	172650.5
Chr	134221
Chr	436681
Chr	744540.5
Chr	720681
Chr	1680589
Chr	1174787.5
pNRC100	19200.5
Chr	1679177.5
pNRC200	219660.5
Chr	150750.5
Chr	216990.5
Chr	1971689
Chr	305880.5
Chr	1673027.5
Chr	731640.5
Chr	688890.5
pNRC200	298410.5
pNRC100	186450.5
Chr	1426693
pNRC100	31020.5
Chr	489870.5
Chr	160350.5
Chr	840090.5
Chr	1328003
Chr	1119547
Chr	1033260.5
Chr	1321067.5
Chr	727355
pNRC200	46440.5
Chr	727380.5
Chr	1662977.5
Chr	1412627.5
Chr	1118117.5
pNRC100	117323
Chr	1567273
Chr	1970695
Chr	1061687.5
Chr	664020.5
Chr	1289747.5
Chr	705629
Chr	1800917.5
Chr	837750.5
Chr	1115927.5
Chr	654180.5
Chr	1017360.5
Chr	164070.5
pNRC200	82770.5
Chr	1162857
Chr	685530.5
pNRC200	216630.5
Chr	309150.5
Chr	202680.5
Chr	1163807.5
Chr	1571177.5
pNRC100	66360.5
Chr	729930.5
Chr	1763477.5
pNRC200	60000.5
pNRC100	124565
Chr	1238117
Chr	902100.5
Chr	1317257.5
pNRC200	60300.5
pNRC100	103123
Chr	1055221
Chr	1434377.5
Chr	1003020.5
Chr	602670.5
pNRC200	318630.5
Chr	689880.5
Chr	1135735
Chr	167310.5
Chr	996870.5
Chr	1774337.5
Chr	659460.5
Chr	1041000.5
Chr	907560.5
Chr	1507847.5
Chr	1312997.5
Chr	1833807
Chr	838257
Chr	1305497.5
Chr	568440.5
Chr	1541987.5
Chr	1832747.5
Chr	661470.5
Chr	1049087.5
Chr	1210517.5
Chr	1519367.5
Chr	1071797.5
pNRC100	90420.5
Chr	1649177.5
Chr	253785
Chr	1609577.5
Chr	41310.5
Chr	1585591
Chr	391667
Chr	568980.5
Chr	1186247.5
NA	NA
pNRC200	152520.5
pNRC200	276570.5
Chr	1797437.5
pNRC200	192960.5
Chr	1262777.5
Chr	796680.5
Chr	362790.5
pNRC200	212280.5
Chr	1223687.5
Chr	710730.5
pNRC200	53160.5
Chr	699510.5
Chr	338760.5
pNRC200	251220.5
Chr	153960.5
Chr	1385627.5
Chr	1057427.5
Chr	918570.5
Chr	1211927.5
Chr	1812365
Chr	981420.5
Chr	939503
Chr	98310.5
NA	NA
Chr	239250.5
Chr	689010.5
pNRC200	160207
pNRC200	159540.5
Chr	478830.5
Chr	660270.5
pNRC100	44520.5
Chr	1617137.5
Chr	842340.5
pNRC200	244170.5
pNRC200	15990.5
Chr	1827077.5
Chr	1205057.5
Chr	815537
Chr	1228847.5
Chr	1538507.5
Chr	252150.5
Chr	2007189
Chr	91380.5
Chr	417990.5
Chr	1297067.5
Chr	775560.5
Chr	5880.5
Chr	743259
Chr	269831
Chr	472230.5
Chr	105810.5
Chr	1454327.5
Chr	248220.5
Chr	823915
Chr	1401407.5
Chr	508959
Chr	1146811
Chr	194370.5
Chr	1146767.5
Chr	1247237.5
pNRC200	255390.5
pNRC200	219540.5
Chr	1318631
Chr	1426997.5
Chr	1289897.5
Chr	1308917.5
Chr	1293497
Chr	240990.5
pNRC200	49830.5
Chr	755220.5
Chr	351300.5
Chr	1397267.5
pNRC100	119880.5
Chr	906210.5
NA	NA
pNRC100	179220.5
Chr	862290.5
pNRC200	91770.5
Chr	681870.5
Chr	1117337.5
Chr	1298987.5
Chr	1954277.5
Chr	1188467.5
pNRC100	1877
Chr	146100.5
pNRC200	150960.5
Chr	200250.5
Chr	44580.5
pNRC200	202239
Chr	389400.5
pNRC100	108093
Chr	604667
Chr	942570.5
Chr	255915
Chr	683400.5
Chr	1201067.5
Chr	1045470.5
Chr	1477397.5
pNRC100	72330.5
Chr	1425797.5
Chr	811830.5
Chr	1546067.5
pNRC200	344700.5
Chr	89760.5
Chr	138270.5
NA	NA
pNRC200	257477
Chr	1606037.5
Chr	660690.5
Chr	1183457.5
Chr	396570.5
pNRC100	109530.5
Chr	84090.5
Chr	199200.5
Chr	1726313
pNRC200	51990.5
Chr	147570.5
Chr	960630.5
Chr	1993273
Chr	263760.5
pNRC200	137771
pNRC200	262230.5
pNRC200	186051
pNRC200	159071
pNRC200	329100.5
Chr	985050.5
Chr	688080.5
pNRC200	318870.5
Chr	1884137.5
pNRC200	271140.5
Chr	27510.5
pNRC200	277860.5
Chr	1507907.5
Chr	182075
Chr	1646027.5
Chr	1591787.5
Chr	1069937.5
pNRC200	140130.5
Chr	1767351
pNRC200	222270.5
Chr	443520.5
Chr	60239
Chr	345630.5
Chr	1045560.5
Chr	1241807.5
Chr	613620.5
Chr	68280.5
pNRC200	298657
Chr	266340.5
Chr	1850537.5
Chr	916980.5
Chr	137345
Chr	1388867.5
pNRC100	124170.5
pNRC200	189510.5
Chr	1540487.5
Chr	1914047.5
Chr	1245377.5
Chr	947040.5
Chr	1756547.5
Chr	1408487.5
Chr	1892777.5
Chr	854550.5
Chr	1306845
Chr	353700.5
Chr	1527371
Chr	1123547.5
Chr	1402547.5
pNRC200	268830.5
pNRC200	175890.5
Chr	1617797.5
Chr	1591397.5
Chr	1688257
Chr	1497407.5
pNRC100	127405
Chr	598561
Chr	425880.5
Chr	204369
pNRC200	155947
Chr	1448717.5
Chr	1104497.5
Chr	1924127.5
Chr	398040.5
Chr	1652177.5
pNRC100	175260.5
Chr	778380.5
Chr	5490.5
pNRC200	81750.5
Chr	1981157.5
Chr	569520.5
pNRC100	49980.5
Chr	598110.5
Chr	1143287.5
pNRC200	340405
Chr	594017
Chr	920940.5
Chr	1518017.5
Chr	152970.5
Chr	1817387.5
pNRC200	315690.5
Chr	1831607.5
pNRC200	86640.5
Chr	1316897.5
Chr	528360.5
unmapped	NA
Chr	82170.5
pNRC200	114625
pNRC200	257400.5
Chr	1543247.5
Chr	70710.5
Chr	510240.5
Chr	1135593
pNRC100	114360.5
Chr	207210.5
Chr	1985321
Chr	1872317.5
Chr	718740.5
Chr	1727449
Chr	589200.5
Chr	333240.5
Chr	1273277.5
pNRC100	114625
pNRC200	161100.5
Chr	200760.5
Chr	256590.5
Chr	1419947.5
pNRC200	98070.5
Chr	876881
pNRC200	340740.5
Chr	389010.5
Chr	1684907.5
Chr	1289357.5
Chr	448041
Chr	1210637.5
Chr	982500.5
Chr	738999
Chr	1485623
Chr	1724657.5
Chr	1307357.5
Chr	161343
Chr	912900.5
pNRC200	135420.5
Chr	257010.5
pNRC100	122880.5
Chr	363060.5
Chr	687330.5
pNRC200	111960.5
Chr	1657217.5
Chr	99450.5
Chr	1854947.5
Chr	1254437.5
Chr	1334957.5
Chr	234360.5
pNRC200	79230.5
pNRC200	83670.5
Chr	840360.5
Chr	1815317.5
Chr	1176407.5
Chr	184080.5
Chr	1365557.5
pNRC100	46470.5
Chr	660331
Chr	1235447.5
Chr	1896437.5
Chr	545040.5
pNRC100	80910.5
Chr	120480.5
pNRC100	4740.5
pNRC200	195840.5
Chr	937710.5
pNRC100	119169
Chr	1015890.5
Chr	746820.5
Chr	1419677.5
Chr	1083557.5
pNRC100	116880.5
Chr	1797347.5
Chr	1874267.5
pNRC100	139080.5
Chr	104400.5
Chr	921510.5
Chr	645750.5
pNRC100	180180.5
Chr	1091267.5
Chr	1264007.5
Chr	1826897.5
Chr	1398527.5
Chr	891480.5
Chr	996150.5
Chr	587911
Chr	1658867.5
Chr	1419593
Chr	718770.5
pNRC200	310050.5
Chr	1574957.5
Chr	715230.5
Chr	1037310.5
Chr	1979357.5
Chr	1313717.5
Chr	1198337.5
pNRC200	244980.5
Chr	881220.5
pNRC100	117090.5
Chr	1352285
pNRC100	177840.5
Chr	284883
Chr	5130.5
Chr	1968991
Chr	1626317.5
Chr	1139807.5
Chr	158310.5
pNRC200	120510.5
pNRC200	136860.5
Chr	1020159
Chr	553950.5
Chr	1170857.5
pNRC200	234930.5
Chr	1850705
Chr	1870869
Chr	390673
unmapped	NA
Chr	627660.5
Chr	221280.5
Chr	1511537.5
unmapped	NA
Chr	1914227.5
Chr	1033110.5
Chr	1498367.5
pNRC200	308040.5
Chr	1720427.5
pNRC200	225270.5
pNRC200	352901
NA	NA
pNRC100	80100.5
Chr	417330.5
pNRC100	57990.5
pNRC200	356040.5
Chr	5310.5
Chr	1067147.5
Chr	1943747.5
Chr	1464607
Chr	918487
Chr	590100.5
Chr	1090547.5
Chr	434100.5
NA	NA
Chr	912097
Chr	187471
Chr	1451
Chr	1966847.5
Chr	1332121
Chr	831180.5
NA	NA
Chr	1035360.5
Chr	695850.5
Chr	559590.5
Chr	1075217.5
Chr	1697087.5
Chr	355380.5
Chr	1494737.5
NA	NA
Chr	1266287.5
Chr	1596707.5
Chr	1645277.5
pNRC200	163680.5
Chr	474690.5
Chr	346590.5
Chr	817830.5
Chr	1948397.5
Chr	596999
Chr	104340.5
pNRC100	70320.5
Chr	1989767.5
Chr	1109687.5
pNRC200	99900.5
NA	NA
Chr	1903217.5
Chr	1192637.5
Chr	975720.5
Chr	483570.5
Chr	1418173
pNRC100	136260.5
NA	NA
Chr	1371827.5
Chr	36210.5
Chr	1566279
Chr	489180.5
Chr	1093757.5
Chr	1084457.5
Chr	1080587.5
NA	NA
Chr	1885217.5
Chr	1307777.5
Chr	1390757.5
pNRC200	76770.5
Chr	125985
pNRC100	53580.5
Chr	472950.5
Chr	97470.5
Chr	1629827.5
pNRC100	14670.5
Chr	578280.5
Chr	1956211
Chr	1513847.5
Chr	60600.5
Chr	980610.5
Chr	1242767.5
Chr	142290.5
Chr	1604477
Chr	912665
Chr	1454417.5
pNRC200	313470.5
Chr	1547117.5
Chr	1208807.5
Chr	1176773
unmapped	NA
Chr	1485287.5
Chr	599340.5
Chr	197910.5
Chr	229710.5
Chr	341670.5
Chr	943530.5
Chr	910860.5
Chr	1632707.5
pNRC200	163710.5
Chr	1455407.5
Chr	471300.5
Chr	357510.5
pNRC200	16650.5
Chr	1001760.5
Chr	1414997.5
pNRC100	122220.5
Chr	1074527.5
pNRC100	191163
pNRC200	194610.5
Chr	1535477.5
Chr	276930.5
Chr	1633127.5
Chr	1335227.5
Chr	1355987.5
Chr	528240.5
Chr	1905347.5
Chr	628800.5
Chr	1754867.5
Chr	115920.5
Chr	97110.5
Chr	1817867.5
Chr	1624457.5
Chr	1301597.5
pNRC100	2520.5
Chr	1189553
pNRC200	332760.5
Chr	418505
Chr	1128257.5
Chr	1384727.5
Chr	1259027.5
pNRC100	114630.5
Chr	291810.5
Chr	1856987.5
Chr	1202057.5
Chr	1805027.5
Chr	561090.5
Chr	1434047.5
pNRC100	61091
Chr	1606607.5
Chr	602679
Chr	212460.5
Chr	1148747.5
Chr	101790.5
Chr	70890.5
Chr	1359497.5
pNRC100	141037
Chr	1812287.5
Chr	1007790.5
pNRC100	83160.5
pNRC200	180090.5
Chr	1100235
Chr	1184357.5
pNRC200	315120.5
Chr	425130.5
Chr	796290.5
Chr	371880.5
Chr	679740.5
Chr	1748927.5
